s/n,subject,level,question,students_response,recipe,suggested_answer,,
1,Biology,Secondary 3, ,"There was too much glucose in the blood after consumption of breakfast, causing islets of Langerhans to be produced by the pancreas that secrete insulin. The liver then converts glucose into glucagon for storage and the blood glucose level decreases.", ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,
2,Biology,Secondary 3, ,"There was too much glucose in the blood after consumption of breakfast, causing islets of Langerhans to be produced by the pancreas that secrete insulin. The liver then converts glucose into glucagon for storage and the blood glucose level decreases.", ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,
3,Biology,Secondary 3, ,"There was too much glucose in the blood after consumption of breakfast, causing islets of Langerhans to be produced by the pancreas that secrete insulin. The liver then converts glucose into glucagon for storage and the blood glucose level decreases.", ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,
4,Biology,Secondary 3, ,"There was too much glucose in the blood after consumption of breakfast, causing islets of Langerhans to be produced by the pancreas that secrete insulin. The liver then converts glucose into glucagon for storage and the blood glucose level decreases.", ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,
5,Biology,Secondary 3, ,"There was too much glucose in the blood after consumption of breakfast, causing islets of Langerhans to be produced by the pancreas that secrete insulin. The liver then converts glucose into glucagon for storage and the blood glucose level decreases.", ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,
6,Biology,Secondary 3, ,"There was too much glucose in the blood after consumption of breakfast, causing islets of Langerhans to be produced by the pancreas that secrete insulin. The liver then converts glucose into glucagon for storage and the blood glucose level decreases.", ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,
7,Biology,Secondary 3, ,"There was too much glucose in the blood after consumption of breakfast, causing islets of Langerhans to be produced by the pancreas that secrete insulin. The liver then converts glucose into glucagon for storage and the blood glucose level decreases.", ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,
8,Biology,Secondary 3, ,"There was too much glucose in the blood after consumption of breakfast, causing islets of Langerhans to be produced by the pancreas that secrete insulin. The liver then converts glucose into glucagon for storage and the blood glucose level decreases.", ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,
9,Biology,Secondary 3, ,"There was too much glucose in the blood after consumption of breakfast, causing islets of Langerhans to be produced by the pancreas that secrete insulin. The liver then converts glucose into glucagon for storage and the blood glucose level decreases.", ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,
10,Biology,Secondary 3, ,"There was too much glucose in the blood after consumption of breakfast, causing islets of Langerhans to be produced by the pancreas that secrete insulin. The liver then converts glucose into glucagon for storage and the blood glucose level decreases.", ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,
11,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,"The current flowing through the coil turn it into an electromagnet, which exerts a  force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,
12,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,"The current flowing through the coil turn it into an electromagnet, which exerts a  force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,
13,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,"The current flowing through the coil turn it into an electromagnet, which exerts a  force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,
14,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,"The current flowing through the coil turn it into an electromagnet, which exerts a  force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,
15,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,"The current flowing through the coil turn it into an electromagnet, which exerts a  force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,
16,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,"The current flowing through the coil turn it into an electromagnet, which exerts a  force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,
17,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,"The current flowing through the coil turn it into an electromagnet, which exerts a  force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,
18,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,"The current flowing through the coil turn it into an electromagnet, which exerts a  force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,
19,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,"The current flowing through the coil turn it into an electromagnet, which exerts a  force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,
20,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,"The current flowing through the coil turn it into an electromagnet, which exerts a  force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,
21,,,What are FTAs? How does FTAs enable economic cooperation?,"FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.",,
22,,,What are FTAs? How does FTAs enable economic cooperation?,"FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.",,
23,,,What are FTAs? How does FTAs enable economic cooperation?,"FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.",,
24,,,What are FTAs? How does FTAs enable economic cooperation?,"FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.",,
25,,,What are FTAs? How does FTAs enable economic cooperation?,"FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.",,
26,,,What are FTAs? How does FTAs enable economic cooperation?,"FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.",,
27,,,What are FTAs? How does FTAs enable economic cooperation?,"FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.",,
28,,,What are FTAs? How does FTAs enable economic cooperation?,"FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.",,
29,,,What are FTAs? How does FTAs enable economic cooperation?,"FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.",,
30,,,What are FTAs? How does FTAs enable economic cooperation?,"FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.",,
31,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n","FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,
32,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n","FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,
33,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n","FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,
34,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n","FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,
35,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n","FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,
36,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n","FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,
37,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n","FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,
38,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n","FTAs, or Free Trade Agreements, are treaties between two or more countries to reduce or eliminate trade barriers like tariffs and quotas, facilitating trade and investment. This enables economic cooperation by fostering increased trade, lower costs, and access to new markets, ultimately promoting economic growth and development.", ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,
